accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
"ERR16025249, ERR16025255","ERR16025249, ERR16025255",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025249,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025250, ERR16025295","ERR16025250, ERR16025295",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025250,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025256, ERR16025261","ERR16025256, ERR16025261",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025256,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025259, ERR16025289","ERR16025259, ERR16025289",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025259,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025260, ERR16025267","ERR16025260, ERR16025267",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025260,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025262, ERR16025294","ERR16025262, ERR16025294",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025262,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025264, ERR16025278","ERR16025264, ERR16025278",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025264,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025266, ERR16025274, ERR16025285, ERR16025299","ERR16025266, ERR16025274, ERR16025285, ERR16025299",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025266,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025268, ERR16025298","ERR16025268, ERR16025298",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025268,auto-collected from public metadata; sample_size from BioSample accessions
"ERR16025271, ERR16025287, ERR16025297, ERR16025302","ERR16025271, ERR16025287, ERR16025297, ERR16025302",IBD-associated disease,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,20,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/sra/?term=ERR16025271,auto-collected from public metadata; sample_size from BioSample accessions
